[  429]  Di 2016-02-09 12:45:24.250   lat: 52.71594°  lon: 2.14263°  alt: 8130.64m  vH: 23.2m/s  D: 45.2°  vV: -15.6m/s    P=324.07hPa  T=-44.96°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  430]  Di 2016-02-09 12:45:24.750   lat: 52.71601°  lon: 2.14275°  alt: 8122.96m  vH: 23.3m/s  D: 45.3°  vV: -15.6m/s    P=324.45hPa  T=-45.35°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  431]  Di 2016-02-09 12:45:25.250   lat: 52.71609°  lon: 2.14288°  alt: 8115.25m  vH: 23.4m/s  D: 45.2°  vV: -15.6m/s    P=324.86hPa  T=-45.70°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  432]  Di 2016-02-09 12:45:25.750   lat: 52.71616°  lon: 2.14300°  alt: 8107.55m  vH: 23.2m/s  D: 44.8°  vV: -15.6m/s    P=325.24hPa  T=-46.03°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  433]  Di 2016-02-09 12:45:26.250   lat: 52.71624°  lon: 2.14312°  alt: 8099.91m  vH: 22.9m/s  D: 45.7°  vV: -15.6m/s    P=325.63hPa  T=-46.32°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  434]  Di 2016-02-09 12:45:26.750   lat: 52.71631°  lon: 2.14324°  alt: 8092.16m  vH: 22.9m/s  D: 45.6°  vV: -15.5m/s    P=325.95hPa  T=-46.59°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  435]  Di 2016-02-09 12:45:27.250   lat: 52.71638°  lon: 2.14336°  alt: 8084.51m  vH: 22.9m/s  D: 45.3°  vV: -15.5m/s    P=326.42hPa  T=-46.82°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  436]  Di 2016-02-09 12:45:27.750   lat: 52.71645°  lon: 2.14348°  alt: 8076.87m  vH: 22.6m/s  D: 45.6°  vV: -15.5m/s    P=326.76hPa  T=-47.06°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  437]  Di 2016-02-09 12:45:28.250   lat: 52.71652°  lon: 2.14360°  alt: 8069.20m  vH: 22.3m/s  D: 45.2°  vV: -15.6m/s    P=327.12hPa  T=-47.26°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  438]  Di 2016-02-09 12:45:28.750   lat: 52.71659°  lon: 2.14372°  alt: 8061.46m  vH: 22.4m/s  D: 46.1°  vV: -15.5m/s    P=327.55hPa  T=-47.46°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  439]  Di 2016-02-09 12:45:29.250   lat: 52.71666°  lon: 2.14384°  alt: 8053.79m  vH: 22.4m/s  D: 45.4°  vV: -15.7m/s    P=327.90hPa  T=-47.63°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  440]  Di 2016-02-09 12:45:29.750   lat: 52.71673°  lon: 2.14395°  alt: 8046.10m  vH: 22.4m/s  D: 45.3°  vV: -15.5m/s    P=328.31hPa  T=-47.81°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  441]  Di 2016-02-09 12:45:30.250   lat: 52.71680°  lon: 2.14407°  alt: 8038.40m  vH: 22.4m/s  D: 44.2°  vV: -15.6m/s    P=328.71hPa  T=-47.96°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  442]  Di 2016-02-09 12:45:30.750   lat: 52.71688°  lon: 2.14418°  alt: 8030.71m  vH: 22.4m/s  D: 43.6°  vV: -15.7m/s    P=329.10hPa  T=-48.09°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  443]  Di 2016-02-09 12:45:31.250   lat: 52.71695°  lon: 2.14430°  alt: 8023.00m  vH: 22.3m/s  D: 43.5°  vV: -15.5m/s    P=329.50hPa  T=-48.20°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  444]  Di 2016-02-09 12:45:31.750   lat: 52.71702°  lon: 2.14441°  alt: 8015.32m  vH: 22.4m/s  D: 43.4°  vV: -15.4m/s    P=329.88hPa  T=-48.28°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  445]  Di 2016-02-09 12:45:32.250   lat: 52.71710°  lon: 2.14453°  alt: 8007.72m  vH: 22.7m/s  D: 43.3°  vV: -15.4m/s    P=330.32hPa  T=-48.37°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  446]  Di 2016-02-09 12:45:32.750   lat: 52.71717°  lon: 2.14464°  alt: 8000.13m  vH: 22.6m/s  D: 42.6°  vV: -15.3m/s    P=330.63hPa  T=-48.44°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  447]  Di 2016-02-09 12:45:33.250   lat: 52.71725°  lon: 2.14476°  alt: 7992.51m  vH: 22.9m/s  D: 42.5°  vV: -15.4m/s    P=331.09hPa  T=-48.51°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  448]  Di 2016-02-09 12:45:33.750   lat: 52.71732°  lon: 2.14487°  alt: 7984.87m  vH: 22.8m/s  D: 41.3°  vV: -15.2m/s    P=331.45hPa  T=-48.56°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  449]  Di 2016-02-09 12:45:34.250   lat: 52.71740°  lon: 2.14498°  alt: 7977.31m  vH: 23.0m/s  D: 41.5°  vV: -15.4m/s    P=331.84hPa  T=-48.60°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  450]  Di 2016-02-09 12:45:34.750   lat: 52.71748°  lon: 2.14509°  alt: 7969.71m  vH: 23.1m/s  D: 41.3°  vV: -15.3m/s    P=332.20hPa  T=-48.64°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  451]  Di 2016-02-09 12:45:35.250   lat: 52.71755°  lon: 2.14520°  alt: 7962.04m  vH: 23.0m/s  D: 41.1°  vV: -15.3m/s    P=332.61hPa  T=-48.68°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  452]  Di 2016-02-09 12:45:35.750   lat: 52.71763°  lon: 2.14531°  alt: 7954.46m  vH: 22.9m/s  D: 40.7°  vV: -15.2m/s    P=333.02hPa  T=-48.70°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  453]  Di 2016-02-09 12:45:36.250   lat: 52.71771°  lon: 2.14543°  alt: 7946.82m  vH: 23.4m/s  D: 39.9°  vV: -15.5m/s    P=333.39hPa  T=-48.75°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  454]  Di 2016-02-09 12:45:36.750   lat: 52.71779°  lon: 2.14554°  alt: 7939.18m  vH: 23.4m/s  D: 39.2°  vV: -15.5m/s    P=333.75hPa  T=-48.79°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  455]  Di 2016-02-09 12:45:37.250   lat: 52.71788°  lon: 2.14564°  alt: 7931.51m  vH: 23.3m/s  D: 38.6°  vV: -15.4m/s    P=334.15hPa  T=-48.83°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  456]  Di 2016-02-09 12:45:37.750   lat: 52.71796°  lon: 2.14575°  alt: 7923.94m  vH: 23.2m/s  D: 38.5°  vV: -15.3m/s    P=334.53hPa  T=-48.87°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  457]  Di 2016-02-09 12:45:38.250   lat: 52.71804°  lon: 2.14586°  alt: 7916.40m  vH: 23.4m/s  D: 38.5°  vV: -15.3m/s    P=334.94hPa  T=-48.90°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  458]  Di 2016-02-09 12:45:38.750   lat: 52.71812°  lon: 2.14597°  alt: 7908.81m  vH: 23.9m/s  D: 38.1°  vV: -15.3m/s    P=335.32hPa  T=-48.93°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
[  459]  Di 2016-02-09 12:45:39.250   lat: 52.71821°  lon: 2.14607°  alt: 7901.24m  vH: 24.0m/s  D: 37.9°  vV: -15.1m/s    P=335.70hPa  T=-48.96°C  H1=1.00%  H2=1.00%    (132055654)  Check: 00000
